Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Create Date
2008,01,Allegany,0301,Flintstone Elementary,Elementary,>= 95.0,*,*,28.0,54,<= 5.0,*,193,20120820
2008,01,Allegany,0401,South Penn Elementary,Elementary,>= 95.0,*,*,31.9,114,5.9,21,357,20120820
2008,01,Allegany,0402,John Humbird Elementary,Elementary,>= 95.0,*,*,35.9,88,<= 5.0,*,245,20120820
2008,01,Allegany,0405,Fort Hill High,High,91.8,120050.0,130810,24.2,241,19.5,194,997,20120820
2008,01,Allegany,0406,Washington Middle,Middle,93.5,82706.0,88471,26.3,179,14.8,101,681,20120820
2008,01,Allegany,0502,Northeast Elementary,Elementary,>= 95.0,*,*,34.3,92,5.2,14,268,20120820
2008,01,Allegany,0504,Braddock Middle,Middle,93.8,74850.0,79816,26.8,164,10.4,64,613,20120820
2008,01,Allegany,0603,West Side Elementary,Elementary,>= 95.0,*,*,31.5,73,6.5,15,232,20120820
2008,01,Allegany,0606,Allegany High,High,93.4,108161.5,115804,28.5,253,12.3,109,888,20120820
2008,01,Allegany,0701,Cresaptown Elementary,Elementary,>= 95.0,*,*,37.7,98,<= 5.0,*,260,20120820
2008,01,Allegany,0702,Bel Air Elementary,Elementary,>= 95.0,*,*,33.9,61,5.6,10,180,20120820
2008,01,Allegany,0801,Westernport Elementary,Elementary,94.7,23775.0,25113,31.3,60,5.7,11,192,20120820
2008,01,Allegany,0802,Westmar Middle,Middle,94.6,36837.5,38920,29.4,88,5.7,17,299,20120820
2008,01,Allegany,1001,George's Creek Elementary,Elementary,94.9,33365.5,35154,24.7,67,<= 5.0,*,271,20120820
2008,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,31.2,59,<= 5.0,*,189,20120820
2008,01,Allegany,1301,Mount Savage Middle,Middle,>= 95.0,*,*,33.9,135,6.5,26,398,20120820
2008,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,34.9,73,<= 5.0,*,209,20120820
2008,01,Allegany,2404,Mountain Ridge High School,High,92.9,131239.0,141221,24.5,268,15.7,171,1092,20120820
2008,01,Allegany,2801,Beall Elementary,Elementary,>= 95.0,*,*,34.6,93,5.2,14,269,20120820
2008,01,Allegany,2901,Cash Valley Elementary,Elementary,94.6,23609.0,24946,32.1,62,6.7,13,193,20120820
2008,01,Allegany,2902,Parkside Elementary,Elementary,>= 95.0,*,*,34.3,71,<= 5.0,*,207,20120820
2008,01,Allegany,5555,Transition Program at Frostburg,High,*,*,*,*,*,*,*,*,20120820
2008,01,Allegany,5556,Transition Program at Cumberland,High,*,*,*,*,*,*,*,*,20120820
2008,01,Allegany,5557,Transition Program at Friends Aware,High,*,*,*,*,*,*,*,*,20120820
2008,01,Allegany,7777,Allegany County Home & Hospital,Elementary,*,*,*,*,*,*,*,*,20120820
2008,01,Allegany,7777,Allegany County Home & Hospital,Middle,*,*,*,*,*,*,*,*,20120820
2008,01,Allegany,7777,Allegany County Home & Hospital,High,*,*,*,*,*,*,*,*,20120820
2008,01,Allegany,A,All Allegany Schools,Elementary,>= 95.0,*,*,32.1,1053,5.3,174,3280,20120820
2008,01,Allegany,A,All Allegany Schools,Middle,94.1,243671.0,258826,28.3,565,10.7,213,1997,20120820
2008,01,Allegany,A,All Allegany Schools,High,92.7,363244.5,391948,25.7,773,16.4,493,3007,20120820
2008,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,94.1,62949.0,66887,35.8,192,11.0,59,536,20120820
2008,02,Anne Arundel,1033,Glen Burnie Senior,High,91.1,226017.5,248085,30.7,611,23.9,475,1989,20120820
2008,02,Anne Arundel,1043,Corkran Middle School,Middle,94.8,81832.0,86328,34.9,244,11.0,77,699,20120820
2008,02,Anne Arundel,1053,Lindale Middle,Middle,94.4,96724.0,102477,31.9,263,13.2,109,824,20120820
2008,02,Anne Arundel,1063,Marley Middle,Middle,94.2,94203.5,99985,29.6,238,11.8,95,805,20120820
2008,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,94.2,17341.0,18412,33.1,49,12.8,19,148,20120820
2008,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,>= 95.0,*,*,50.2,141,<= 5.0,*,281,20120820
2008,02,Anne Arundel,1112,George Cromwell Elementary,Elementary,>= 95.0,*,*,37.7,95,<= 5.0,*,252,20120820
2008,02,Anne Arundel,1122,Freetown Elementary,Elementary,>= 95.0,*,*,33.7,94,10.0,28,279,20120820
2008,02,Anne Arundel,1132,Glendale Elementary,Elementary,94.2,43075.5,45709,31.6,117,11.6,43,370,20120820
2008,02,Anne Arundel,1142,Hilltop Elementary,Elementary,>= 95.0,*,*,37.6,163,<= 5.0,*,434,20120820
2008,02,Anne Arundel,1152,Linthicum Elementary,Elementary,>= 95.0,*,*,42.4,134,5.1,16,316,20120820
2008,02,Anne Arundel,1162,Marley Elementary,Elementary,>= 95.0,*,*,40.2,144,<= 5.0,*,358,20120820
2008,02,Anne Arundel,1172,North Glen Elementary,Elementary,>= 95.0,*,*,47.1,82,<= 5.0,*,174,20120820
2008,02,Anne Arundel,1182,Oakwood Elementary,Elementary,>= 95.0,*,*,39.5,66,<= 5.0,*,167,20120820
2008,02,Anne Arundel,1192,Overlook Elementary,Elementary,>= 95.0,*,*,43.4,75,<= 5.0,*,173,20120820
2008,02,Anne Arundel,1202,Park Elementary,Elementary,94.5,33610.5,35563,37.2,107,9.0,26,288,20120820
2008,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,>= 95.0,*,*,33.0,135,6.8,28,409,20120820
2008,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,>= 95.0,*,*,46.3,152,6.1,20,328,20120820
2008,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,>= 95.0,*,*,33.8,137,6.2,25,405,20120820
2008,02,Anne Arundel,1262,Woodside Elementary,Elementary,>= 95.0,*,*,34.9,73,5.7,12,209,20120820
2008,02,Anne Arundel,1274,Marley Glen School,Elementary,91.2,2104.0,2308,15.8,3,31.6,6,19,20120820
2008,02,Anne Arundel,1274,Marley Glen School,Middle,82.7,956.5,1157,18.2,2,36.4,4,11,20120820
2008,02,Anne Arundel,1274,Marley Glen School,High,94.7,2288.0,2416,50.0,9,27.8,5,18,20120820
2008,02,Anne Arundel,1313,Glen Burnie Evening High,High,85.4,4789.0,5611,6.5,2,29.0,9,31,20120820
2008,02,Anne Arundel,1323,North County High,High,92.3,211560.5,229319,34.7,641,20.0,369,1849,20120820
2008,02,Anne Arundel,2013,Severna Park Sr High,High,>= 95.0,*,*,47.7,876,5.3,97,1835,20120820
2008,02,Anne Arundel,2023,Northeast Sr High,High,92.4,157592.5,170611,32.8,450,17.5,241,1374,20120820
2008,02,Anne Arundel,2033,George Fox Middle,Middle,94.7,96300.5,101733,35.8,296,9.3,77,826,20120820
2008,02,Anne Arundel,2043,Severna Park Middle,Middle,>= 95.0,*,*,50.1,715,<= 5.0,*,1426,20120820
2008,02,Anne Arundel,2052,Arnold Elementary,Elementary,>= 95.0,*,*,36.7,139,<= 5.0,*,379,20120820
2008,02,Anne Arundel,2062,Belvedere Elementary,Elementary,>= 95.0,*,*,41.9,170,<= 5.0,*,406,20120820
2008,02,Anne Arundel,2072,Benfield Elementary,Elementary,>= 95.0,*,*,47.4,191,<= 5.0,*,403,20120820
2008,02,Anne Arundel,2082,Bodkin Elementary,Elementary,>= 95.0,*,*,44.7,217,<= 5.0,*,486,20120820
2008,02,Anne Arundel,2092,Cape St. Claire Elementary,Elementary,>= 95.0,*,*,36.0,204,<= 5.0,*,567,20120820
2008,02,Anne Arundel,2102,Folger McKinsey Elementary,Elementary,>= 95.0,*,*,47.2,244,<= 5.0,*,517,20120820
2008,02,Anne Arundel,2112,Fort Smallwood Elementary,Elementary,>= 95.0,*,*,25.7,83,<= 5.0,*,323,20120820
2008,02,Anne Arundel,2132,High Point Elementary,Elementary,>= 95.0,*,*,33.3,168,<= 5.0,*,504,20120820
2008,02,Anne Arundel,2142,Jacobsville Elementary,Elementary,>= 95.0,*,*,38.4,168,<= 5.0,*,437,20120820
2008,02,Anne Arundel,2152,Jones Elementary,Elementary,>= 95.0,*,*,43.0,107,<= 5.0,*,249,20120820
2008,02,Anne Arundel,2162,Lake Shore Elementary,Elementary,94.6,29642.0,31318,31.4,80,5.1,13,255,20120820
2008,02,Anne Arundel,2172,Oak Hill Elementary,Elementary,>= 95.0,*,*,49.1,182,<= 5.0,*,371,20120820
2008,02,Anne Arundel,2182,Pasadena Elementary,Elementary,>= 95.0,*,*,36.2,97,<= 5.0,*,268,20120820
2008,02,Anne Arundel,2192,Riviera Beach Elementary,Elementary,94.5,23568.0,24936,30.8,62,7.5,15,201,20120820
2008,02,Anne Arundel,2202,Severna Park Elementary,Elementary,>= 95.0,*,*,43.8,113,<= 5.0,*,258,20120820
2008,02,Anne Arundel,2212,Solley Elementary,Elementary,>= 95.0,*,*,32.1,144,<= 5.0,*,449,20120820
2008,02,Anne Arundel,2222,Sunset Elementary,Elementary,>= 95.0,*,*,39.0,143,<= 5.0,*,367,20120820
2008,02,Anne Arundel,2233,Severna Park Evening High,High,*,*,*,*,*,*,*,*,20120820
2008,02,Anne Arundel,2243,Magothy River Middle,Middle,>= 95.0,*,*,41.8,312,5.6,42,746,20120820
2008,02,Anne Arundel,2273,Chesapeake Sr. High,High,93.9,216773.0,230879,36.5,679,12.3,229,1859,20120820
2008,02,Anne Arundel,2322,Broadneck Elementary,Elementary,>= 95.0,*,*,45.7,242,<= 5.0,*,530,20120820
2008,02,Anne Arundel,2363,Broadneck Senior High,High,>= 95.0,*,*,38.8,854,7.7,169,2201,20120820
2008,02,Anne Arundel,2372,Windsor Farm Elementary,Elementary,>= 95.0,*,*,45.1,199,<= 5.0,*,441,20120820
2008,02,Anne Arundel,2413,Severn River Middle,Middle,>= 95.0,*,*,41.0,341,7.1,59,832,20120820
2008,02,Anne Arundel,2423,Chesapeake Bay Middle,Middle,94.3,160861.5,170561,31.6,436,10.2,140,1378,20120820
2008,02,Anne Arundel,2432,Shipley's Choice Elementary,Elementary,>= 95.0,*,*,56.1,208,<= 5.0,*,371,20120820
2008,02,Anne Arundel,3013,Arundel Sr. High,High,>= 95.0,*,*,41.4,806,8.3,162,1946,20120820
2008,02,Anne Arundel,3023,Arundel Middle,Middle,>= 95.0,*,*,34.8,370,9.2,98,1062,20120820
2008,02,Anne Arundel,3033,MacArthur Middle,Middle,93.3,125443.5,134491,30.2,326,15.0,162,1081,20120820
2008,02,Anne Arundel,3062,Brock Bridge Elementary,Elementary,>= 95.0,*,*,43.0,215,5.4,27,500,20120820
2008,02,Anne Arundel,3072,Crofton Elementary,Elementary,>= 95.0,*,*,44.8,278,<= 5.0,*,620,20120820
2008,02,Anne Arundel,3082,Crofton Woods Elementary,Elementary,>= 95.0,*,*,44.3,210,<= 5.0,*,474,20120820
2008,02,Anne Arundel,3092,Seven Oaks Elementary,Elementary,>= 95.0,*,*,54.3,240,<= 5.0,*,442,20120820
2008,02,Anne Arundel,3102,Frank Hebron - Harman at Elementary,Elementary,94.8,48933.0,51626,38.3,160,12.2,51,418,20120820
2008,02,Anne Arundel,3112,Jessup Elementary,Elementary,>= 95.0,*,*,32.4,106,7.6,25,327,20120820
2008,02,Anne Arundel,3122,Manor View Elementary,Elementary,>= 95.0,*,*,34.6,151,6.4,28,437,20120820
2008,02,Anne Arundel,3132,Maryland City Elementary,Elementary,>= 95.0,*,*,35.5,99,7.2,20,279,20120820
2008,02,Anne Arundel,3142,Meade Heights Elementary,Elementary,>= 95.0,*,*,44.1,98,5.4,12,222,20120820
2008,02,Anne Arundel,3152,Van Bokkelen Elementary,Elementary,94.8,33103.0,34925,30.8,89,9.0,26,289,20120820
2008,02,Anne Arundel,3162,Millersville Elementary,Elementary,>= 95.0,*,*,43.8,147,5.1,17,336,20120820
2008,02,Anne Arundel,3172,Odenton Elementary,Elementary,>= 95.0,*,*,37.4,117,5.4,17,313,20120820
2008,02,Anne Arundel,3182,Pershing Hill Elementary,Elementary,>= 95.0,*,*,48.8,83,<= 5.0,*,170,20120820
2008,02,Anne Arundel,3192,Ridgeway Elementary,Elementary,>= 95.0,*,*,45.3,204,<= 5.0,*,450,20120820
2008,02,Anne Arundel,3202,Severn Elementary,Elementary,>= 95.0,*,*,49.9,187,<= 5.0,*,375,20120820
2008,02,Anne Arundel,3212,South Shore Elementary,Elementary,>= 95.0,*,*,46.7,91,<= 5.0,*,195,20120820
2008,02,Anne Arundel,3222,Waugh Chapel Elementary,Elementary,>= 95.0,*,*,47.7,164,<= 5.0,*,344,20120820
2008,02,Anne Arundel,3232,West Meade Elementary,Elementary,>= 95.0,*,*,43.7,107,<= 5.0,*,245,20120820
2008,02,Anne Arundel,3242,Piney Orchard Elementary,Elementary,>= 95.0,*,*,44.0,258,<= 5.0,*,587,20120820
2008,02,Anne Arundel,3263,Crofton Middle,Middle,>= 95.0,*,*,46.7,426,<= 5.0,*,912,20120820
2008,02,Anne Arundel,3272,Four Seasons Elementary,Elementary,>= 95.0,*,*,44.9,245,<= 5.0,*,546,20120820
2008,02,Anne Arundel,3323,Meade Senior High,High,91.5,215887.5,236064,28.8,546,22.5,426,1897,20120820
2008,02,Anne Arundel,3333,Old Mill Middle North,Middle,94.9,99776.0,105125,39.6,336,10.0,85,848,20120820
2008,02,Anne Arundel,3343,Old Mill Middle South,Middle,>= 95.0,*,*,42.8,307,7.8,56,717,20120820
2008,02,Anne Arundel,3353,Old Mill Senior High,High,93.9,305026.0,324892,38.1,1000,13.4,351,2623,20120820
2008,02,Anne Arundel,3362,Crofton Meadows Elementary,Elementary,>= 95.0,*,*,45.4,172,<= 5.0,*,379,20120820
2008,02,Anne Arundel,3372,Glen Burnie Park Elementary,Elementary,>= 95.0,*,*,45.9,117,<= 5.0,*,255,20120820
2008,02,Anne Arundel,3382,Southgate Elementary,Elementary,>= 95.0,*,*,39.4,150,<= 5.0,*,381,20120820
2008,02,Anne Arundel,3392,Rippling Woods Elementary,Elementary,>= 95.0,*,*,42.8,229,6.4,34,535,20120820
2008,02,Anne Arundel,3403,Meade Evening High,High,83.5,2065.0,2473,*,*,*,*,*,20120820
2008,02,Anne Arundel,3414,Ruth Parker Eason School,Elementary,91.4,3190.0,3489,14.3,4,21.4,6,28,20120820
2008,02,Anne Arundel,3414,Ruth Parker Eason School,Middle,94.5,2092.5,2214,27.8,5,16.7,3,18,20120820
2008,02,Anne Arundel,3414,Ruth Parker Eason School,High,90.0,7182.0,7982,24.6,16,29.2,19,65,20120820
2008,02,Anne Arundel,3423,Meade Middle,Middle,>= 95.0,*,*,37.8,279,10.4,77,738,20120820
2008,02,Anne Arundel,4013,Annapolis Sr. High,High,92.0,180886.0,196599,32.6,521,20.4,326,1600,20120820
2008,02,Anne Arundel,4023,Southern Senior High,High,93.3,135533.0,145238,29.1,342,13.3,156,1174,20120820
2008,02,Anne Arundel,4033,Annapolis Middle,Middle,93.9,58036.5,61796,26.5,132,15.9,79,498,20120820
2008,02,Anne Arundel,4043,Wiley H. Bates Middle,Middle,94.5,61312.5,64911,35.0,185,13.6,72,528,20120820
2008,02,Anne Arundel,4053,Southern Middle,Middle,94.7,92548.5,97762,35.7,284,9.5,76,796,20120820
2008,02,Anne Arundel,4084,J. Albert Adams Academy at Adams Park,Middle,80.5,5432.5,6748,<= 5.0,*,46.7,28,60,20120820
2008,02,Anne Arundel,4092,Annapolis Elementary,Elementary,>= 95.0,*,*,35.7,51,6.3,9,143,20120820
2008,02,Anne Arundel,4094,Mary E. Moss Academy,High,78.0,4011.5,5144,13.5,5,59.5,22,37,20120820
2008,02,Anne Arundel,4112,Central Elementary,Elementary,>= 95.0,*,*,35.8,199,<= 5.0,*,556,20120820
2008,02,Anne Arundel,4122,Davidsonville Elementary,Elementary,>= 95.0,*,*,45.5,244,<= 5.0,*,536,20120820
2008,02,Anne Arundel,4132,Deale Elementary,Elementary,>= 95.0,*,*,44.0,107,<= 5.0,*,243,20120820
2008,02,Anne Arundel,4142,Eastport Elementary,Elementary,>= 95.0,*,*,38.5,57,8.8,13,148,20120820
2008,02,Anne Arundel,4152,Edgewater Elementary,Elementary,>= 95.0,*,*,36.2,132,<= 5.0,*,365,20120820
2008,02,Anne Arundel,4162,Georgetown East Elementary,Elementary,>= 95.0,*,*,40.8,91,5.4,12,223,20120820
2008,02,Anne Arundel,4182,Germantown Elementary,Elementary,>= 95.0,*,*,44.8,139,6.8,21,310,20120820
2008,02,Anne Arundel,4192,Hillsmere Elementary,Elementary,>= 95.0,*,*,40.1,122,<= 5.0,*,304,20120820
2008,02,Anne Arundel,4202,Lothian Elementary,Elementary,>= 95.0,*,*,33.8,136,<= 5.0,*,402,20120820
2008,02,Anne Arundel,4212,Mayo Elementary,Elementary,>= 95.0,*,*,42.9,117,<= 5.0,*,273,20120820
2008,02,Anne Arundel,4222,Mills - Parole Elementary,Elementary,>= 95.0,*,*,47.2,160,<= 5.0,*,339,20120820
2008,02,Anne Arundel,4232,Rolling Knolls Elementary,Elementary,>= 95.0,*,*,39.7,108,<= 5.0,*,272,20120820
2008,02,Anne Arundel,4242,Shady Side Elementary,Elementary,>= 95.0,*,*,37.0,129,<= 5.0,*,349,20120820
2008,02,Anne Arundel,4252,Traceys Elementary at Southern Middle,Elementary,94.6,24574.5,25974,32.4,69,6.6,14,213,20120820
2008,02,Anne Arundel,4262,Tyler Heights Elementary,Elementary,>= 95.0,*,*,44.4,100,<= 5.0,*,225,20120820
2008,02,Anne Arundel,4272,West Annapolis Elementary,Elementary,>= 95.0,*,*,35.8,73,5.9,12,204,20120820
2008,02,Anne Arundel,4283,Central Middle,Middle,>= 95.0,*,*,36.8,384,<= 5.0,*,1044,20120820
2008,02,Anne Arundel,4293,South River Senior,High,94.9,229760.5,242070,37.7,738,8.3,163,1957,20120820
2008,02,Anne Arundel,4304,Central Special Education Center,Elementary,92.9,2448.5,2635,42.9,9,28.6,6,21,20120820
2008,02,Anne Arundel,4304,Central Special Education Center,Middle,86.3,1274.0,1476,25.0,3,41.7,5,12,20120820
2008,02,Anne Arundel,4304,Central Special Education Center,High,>= 95.0,*,*,46.7,21,13.3,6,45,20120820
2008,02,Anne Arundel,4313,South River Evening High,High,93.0,6528.0,7023,24.4,11,<= 5.0,*,45,20120820
2008,02,Anne Arundel,4410,Phoenix CENTER - Annapolis,Elementary,87.7,1007.0,1148,*,*,*,*,*,20120820
2008,02,Anne Arundel,4410,Phoenix CENTER - Annapolis,Middle,89.8,1845.5,2055,6.3,1,37.5,6,16,20120820
2008,02,Anne Arundel,4410,Phoenix CENTER - Annapolis,High,87.3,4221.5,4833,9.8,4,48.8,20,41,20120820
2008,02,Anne Arundel,6223,Chesapeake Science Point,Middle,>= 95.0,*,*,81.5,176,<= 5.0,*,216,20120820
2008,02,Anne Arundel,A,All Anne Arundel Schools,Elementary,>= 95.0,*,*,40.5,10835,<= 5.0,*,26727,20120820
2008,02,Anne Arundel,A,All Anne Arundel Schools,Middle,>= 95.0,*,*,37.3,6209,9.7,1610,16643,20120820
2008,02,Anne Arundel,A,All Anne Arundel Schools,High,93.4,2621688.5,2805949,35.8,8121,14.8,3366,22714,20120820
2008,03,Baltimore County,0054,Evening High School,High,>= 95.0,*,*,85.9,158,<= 5.0,*,184,20120820
2008,03,Baltimore County,0069,Catonsville Center for Alternative Studies,High,88.8,6207.0,6989,32.1,9,7.1,2,28,20120820
2008,03,Baltimore County,0070,Meadowood Education Center,Middle,86.2,5484.0,6365,14.8,4,25.9,7,27,20120820
2008,03,Baltimore County,0072,Rosedale Center,Middle,84.9,7894.0,9297,<= 5.0,*,28.6,8,28,20120820
2008,03,Baltimore County,0072,Rosedale Center,High,85.9,15170.0,17666,29.3,27,27.2,25,92,20120820
2008,03,Baltimore County,0073,Bridge Center,Middle,*,*,*,*,*,*,*,*,20120820
2008,03,Baltimore County,0073,Bridge Center,High,*,*,*,*,*,*,*,*,20120820
2008,03,Baltimore County,0075,Crossroads Center,Middle,84.9,20450.0,24091,<= 5.0,*,54.1,99,183,20120820
2008,03,Baltimore County,0075,Crossroads Center,High,79.8,11178.0,14005,<= 5.0,*,62.5,65,104,20120820
2008,03,Baltimore County,0076,Connections Academy,Elementary,93.0,2927.0,3146,46.2,12,15.4,4,26,20120820
2008,03,Baltimore County,0076,Connections Academy,Middle,>= 95.0,*,*,58.8,20,17.6,6,34,20120820
2008,03,Baltimore County,0076,Connections Academy,High,93.2,3819.0,4097,52.5,21,25.0,10,40,20120820
2008,03,Baltimore County,0101,Catonsville Elementary,Elementary,>= 95.0,*,*,42.9,126,<= 5.0,*,294,20120820
2008,03,Baltimore County,0102,Westchester Elementary,Elementary,>= 95.0,*,*,49.2,205,<= 5.0,*,417,20120820
2008,03,Baltimore County,0103,Westowne Elementary,Elementary,>= 95.0,*,*,39.6,149,8.5,32,376,20120820
2008,03,Baltimore County,0104,Edmondson Heights Elementary,Elementary,>= 95.0,*,*,32.5,148,7.7,35,455,20120820
2008,03,Baltimore County,0105,Johnnycake Elementary,Elementary,>= 95.0,*,*,32.8,146,6.1,27,445,20120820
2008,03,Baltimore County,0111,Maiden Choice School,Elementary,86.4,1352.5,1565,8.3,1,50.0,6,12,20120820
