Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2020,01,Allegany,0301,Flintstone Elementary,Elementary,94.5,20406.0,21591.0,42.7,73,<= 5.0,*,171,32,212,15.1,20220125
2020,01,Allegany,0401,South Penn Elementary,Elementary,92.7,45537.0,49140.0,31.6,122,7.8,30,386,128,496,25.8,20220125
2020,01,Allegany,0402,John Humbird Elementary,Elementary,93.3,24516.5,26279.0,34.7,69,<= 5.0,*,199,66,270,24.4,20220125
2020,01,Allegany,0405,Fort Hill High,High,91.4,74885.0,81888.0,35.4,230,10.9,71,649,223,699,31.9,20220125
2020,01,Allegany,0406,Washington Middle,Middle,92.2,68887.0,74685.0,36.2,215,9.9,59,594,161,629,25.6,20220125
2020,01,Allegany,0502,Northeast Elementary,Elementary,94.0,27340.0,29070.0,40.0,92,<= 5.0,*,230,57,302,18.9,20220125
2020,01,Allegany,0504,Braddock Middle,Middle,93.3,71077.0,76163.0,37.8,231,6.2,38,611,139,637,21.8,20220125
2020,01,Allegany,0601,Center for Career & Technical Education,High,92.5,23205.5,25082.0,35.6,72,11.4,23,202,63,212,29.7,20220125
2020,01,Allegany,0603,West Side Elementary,Elementary,93.8,32759.5,34907.0,40.2,111,<= 5.0,*,276,80,367,21.8,20220125
2020,01,Allegany,0606,Allegany High,High,91.9,80433.5,87525.0,34.9,245,11.0,77,702,217,739,29.4,20220125
2020,01,Allegany,0701,Cresaptown Elementary,Elementary,94.0,28691.0,30512.0,42.5,105,<= 5.0,*,247,51,301,16.9,20220125
2020,01,Allegany,0702,Bel Air Elementary,Elementary,94.1,20138.5,21403.0,40.2,70,<= 5.0,*,174,32,211,15.2,20220125
2020,01,Allegany,0801,Westernport Elementary,Elementary,92.6,21846.5,23584.0,31.1,59,7.9,15,190,68,251,27.1,20220125
2020,01,Allegany,0802,Westmar Middle,Middle,91.9,30041.0,32702.0,32.4,85,10.7,28,262,85,278,30.6,20220125
2020,01,Allegany,1001,George's Creek Elementary,Elementary,93.5,24828.5,26546.0,36.3,78,<= 5.0,*,215,52,266,19.5,20220125
2020,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,49.0,76,<= 5.0,*,155,17,186,9.1,20220125
2020,01,Allegany,1301,Mount Savage Middle,Middle,94.2,45085.5,47865.0,41.6,162,<= 5.0,*,389,62,399,15.5,20220125
2020,01,Allegany,1302,Mt. Savage Elementary,Elementary,94.7,16387.0,17298.0,47.1,66,<= 5.0,*,140,18,173,10.4,20220125
2020,01,Allegany,2404,Mountain Ridge High School,High,90.3,85275.0,94456.0,32.1,244,13.9,106,760,267,800,33.4,20220125
2020,01,Allegany,2801,Beall Elementary,Elementary,94.3,35010.5,37144.0,42.3,126,<= 5.0,*,298,71,393,18.1,20220125
2020,01,Allegany,2901,Cash Valley Elementary,Elementary,93.7,21285.0,22725.0,45.6,82,<= 5.0,*,180,41,243,16.9,20220125
2020,01,Allegany,2902,Parkside Elementary,Elementary,94.7,17890.0,18890.0,46.3,69,<= 5.0,*,149,30,200,15.0,20220125
2020,01,Allegany,A,All Allegany Schools,Elementary,93.8,354766.5,378138.0,39.5,1201,<= 5.0,*,3039,710,3787,18.7,20220125
2020,01,Allegany,A,All Allegany Schools,Middle,92.9,215090.5,231415.0,37.1,692,7.7,143,1866,438,1925,22.8,20220125
2020,01,Allegany,A,All Allegany Schools,High,91.3,263799.0,288951.0,34.2,792,12.1,281,2319,759,2427,31.3,20220125
2020,01,Allegany,A,All Allegany Schools,All,92.8,833656.0,898504.0,37.2,2685,7.6,548,7224,1907,8139,23.4,20220125
2020,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,93.3,94410.0,101201.0,44.8,370,7.3,60,825,198,881,22.5,20220125
2020,02,Anne Arundel,1033,Glen Burnie High,High,89.1,222204.0,249413.0,37.2,749,17.9,360,2012,746,2167,34.4,20220125
2020,02,Anne Arundel,1043,Corkran Middle School,Middle,92.9,73212.0,78765.0,39.5,252,6.3,40,638,163,697,23.4,20220125
2020,02,Anne Arundel,1053,Lindale Middle,Middle,94.1,127279.0,135230.0,53.0,584,5.6,62,1101,215,1175,18.3,20220125
2020,02,Anne Arundel,1063,Marley Middle,Middle,93.6,106206.5,113464.0,45.3,411,6.2,56,908,199,1004,19.8,20220125
2020,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,93.0,24635.5,26502.0,34.1,73,5.6,12,214,85,296,28.7,20220125
2020,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,94.3,38827.5,41190.0,44.5,145,<= 5.0,*,326,82,447,18.3,20220125
2020,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,94.4,33447.0,35441.0,41.8,119,<= 5.0,*,285,45,317,14.2,20220125
2020,02,Anne Arundel,1122,Freetown Elementary,Elementary,94.4,40439.5,42849.0,42.4,143,<= 5.0,*,337,85,457,18.6,20220125
2020,02,Anne Arundel,1132,Glendale Elementary,Elementary,94.0,39227.0,41727.0,42.8,143,<= 5.0,*,334,90,454,19.8,20220125
2020,02,Anne Arundel,1142,Hilltop Elementary,Elementary,93.5,61688.5,65991.0,39.6,211,<= 5.0,*,533,174,679,25.6,20220125
2020,02,Anne Arundel,1152,Linthicum Elementary,Elementary,>= 95.0,*,*,49.1,195,<= 5.0,*,397,60,487,12.3,20220125
2020,02,Anne Arundel,1162,Marley Elementary,Elementary,94.4,75105.0,79577.0,42.9,270,<= 5.0,*,629,144,836,17.2,20220125
2020,02,Anne Arundel,1172,North Glen Elementary,Elementary,94.0,24834.0,26408.0,45.9,94,<= 5.0,*,205,66,299,22.1,20220125
2020,02,Anne Arundel,1182,Oakwood Elementary,Elementary,94.0,24633.5,26195.0,47.1,99,<= 5.0,*,210,66,288,22.9,20220125
2020,02,Anne Arundel,1192,Overlook Elementary,Elementary,94.2,32404.5,34383.0,43.4,122,<= 5.0,*,281,63,361,17.5,20220125
2020,02,Anne Arundel,1202,Park Elementary,Elementary,94.1,45312.0,48169.0,45.0,175,<= 5.0,*,389,94,504,18.7,20220125
2020,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,94.4,49099.5,52007.0,42.8,180,<= 5.0,*,421,75,534,14.0,20220125
2020,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,>= 95.0,*,*,54.2,186,<= 5.0,*,343,64,438,14.6,20220125
2020,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,93.7,46141.5,49246.0,40.5,163,<= 5.0,*,402,113,534,21.2,20220125
2020,02,Anne Arundel,1262,Woodside Elementary,Elementary,93.8,32446.0,34595.0,43.2,120,5.8,16,278,77,370,20.8,20220125
2020,02,Anne Arundel,1274,Marley Glen School,Elementary,86.2,3379.0,3921.0,30.0,9,33.3,10,30,27,51,52.9,20220125
2020,02,Anne Arundel,1274,Marley Glen School,Middle,*,*,*,*,*,*,*,*,*,*,*,20220125
2020,02,Anne Arundel,1274,Marley Glen School,High,92.1,1688.0,1833.0,35.7,5,14.3,2,14,5,17,29.4,20220125
2020,02,Anne Arundel,1274,Marley Glen School,All,87.9,5882.5,6690.0,27.5,14,25.5,13,51,38,77,49.4,20220125
2020,02,Anne Arundel,1323,North County High,High,90.4,248066.0,274274.0,40.0,886,15.3,339,2216,722,2361,30.6,20220125
2020,02,Anne Arundel,2013,Severna Park High,High,>= 95.0,*,*,57.7,1106,<= 5.0,*,1917,208,1940,10.7,20220125
2020,02,Anne Arundel,2023,Northeast High,High,93.5,152993.5,163631.0,50.2,675,6.5,88,1344,275,1403,19.6,20220125
2020,02,Anne Arundel,2033,George Fox Middle,Middle,92.9,97372.0,104850.0,35.7,308,5.9,51,863,209,915,22.8,20220125
2020,02,Anne Arundel,2043,Severna Park Middle,Middle,>= 95.0,*,*,55.9,806,<= 5.0,*,1443,144,1464,9.8,20220125
2020,02,Anne Arundel,2052,Arnold Elementary,Elementary,>= 95.0,*,*,50.8,230,<= 5.0,*,453,37,559,6.6,20220125
2020,02,Anne Arundel,2062,Belvedere Elementary,Elementary,>= 95.0,*,*,53.6,215,<= 5.0,*,401,41,485,8.5,20220125
2020,02,Anne Arundel,2072,Benfield Elementary,Elementary,>= 95.0,*,*,55.2,190,<= 5.0,*,344,*,*,<= 5.0,20220125
2020,02,Anne Arundel,2082,Bodkin Elementary,Elementary,>= 95.0,*,*,57.8,257,<= 5.0,*,445,35,560,6.3,20220125
2020,02,Anne Arundel,2092,Cape St. Claire Elementary,Elementary,>= 95.0,*,*,52.7,270,<= 5.0,*,512,50,636,7.9,20220125
2020,02,Anne Arundel,2102,Folger Mckinsey Elementary,Elementary,>= 95.0,*,*,53.7,278,<= 5.0,*,518,41,621,6.6,20220125
2020,02,Anne Arundel,2112,Fort Smallwood Elementary,Elementary,>= 95.0,*,*,52.4,185,<= 5.0,*,353,35,433,8.1,20220125
2020,02,Anne Arundel,2132,High Point Elementary,Elementary,93.7,58662.0,62585.0,34.3,178,<= 5.0,*,519,112,664,16.9,20220125
2020,02,Anne Arundel,2142,Jacobsville Elementary,Elementary,>= 95.0,*,*,48.3,224,<= 5.0,*,464,73,574,12.7,20220125
2020,02,Anne Arundel,2152,Jones Elementary,Elementary,>= 95.0,*,*,52.9,139,<= 5.0,*,263,*,*,<= 5.0,20220125
2020,02,Anne Arundel,2162,Lake Shore Elementary,Elementary,>= 95.0,*,*,47.8,132,<= 5.0,*,276,43,338,12.7,20220125
2020,02,Anne Arundel,2172,Oak Hill Elementary,Elementary,>= 95.0,*,*,50.3,272,<= 5.0,*,541,69,689,10.0,20220125
2020,02,Anne Arundel,2182,Pasadena Elementary,Elementary,>= 95.0,*,*,52.5,158,<= 5.0,*,301,40,376,10.6,20220125
2020,02,Anne Arundel,2192,Riviera Beach Elementary,Elementary,93.9,26487.5,28219.0,35.2,81,<= 5.0,*,230,56,287,19.5,20220125
2020,02,Anne Arundel,2202,Severna Park Elementary,Elementary,>= 95.0,*,*,46.4,170,<= 5.0,*,366,34,448,7.6,20220125
2020,02,Anne Arundel,2212,Solley Elementary,Elementary,94.1,72214.5,76742.0,40.0,253,<= 5.0,*,633,129,781,16.5,20220125
2020,02,Anne Arundel,2222,Sunset Elementary,Elementary,94.3,40106.5,42542.0,38.2,134,<= 5.0,*,351,68,443,15.3,20220125
2020,02,Anne Arundel,2233,Anne Arundel Evening High,High,80.1,23264.0,29027.0,12.4,13,32.4,34,105,314,469,67.0,20220125
2020,02,Anne Arundel,2243,Magothy River Middle,Middle,>= 95.0,*,*,52.3,376,<= 5.0,*,719,77,735,10.5,20220125
2020,02,Anne Arundel,2273,Chesapeake High,High,93.7,162105.5,173053.0,51.7,730,6.7,94,1411,251,1474,17.0,20220125
2020,02,Anne Arundel,2322,Broadneck Elementary,Elementary,>= 95.0,*,*,51.2,335,<= 5.0,*,654,78,790,9.9,20220125
2020,02,Anne Arundel,2363,Broadneck High,High,94.7,253492.5,267557.0,53.9,1185,<= 5.0,*,2200,297,2248,13.2,20220125
2020,02,Anne Arundel,2372,Windsor Farm Elementary,Elementary,>= 95.0,*,*,51.9,245,<= 5.0,*,472,65,573,11.3,20220125
2020,02,Anne Arundel,2413,Severn River Middle,Middle,>= 95.0,*,*,51.4,417,<= 5.0,*,812,83,830,10.0,20220125
2020,02,Anne Arundel,2423,Chesapeake Bay Middle,Middle,93.9,121282.0,129140.0,46.9,501,<= 5.0,*,1068,219,1116,19.6,20220125
2020,02,Anne Arundel,2432,Shipley's Choice Elementary,Elementary,>= 95.0,*,*,57.0,191,<= 5.0,*,335,*,*,<= 5.0,20220125
2020,02,Anne Arundel,3013,Arundel High,High,93.2,248561.0,266803.0,46.6,1012,8.0,174,2173,439,2269,19.3,20220125
2020,02,Anne Arundel,3023,Arundel Middle,Middle,94.9,122005.0,128623.0,52.3,548,<= 5.0,*,1048,142,1109,12.8,20220125
2020,02,Anne Arundel,3033,MacArthur Middle,Middle,94.2,107328.0,113922.0,50.0,453,<= 5.0,*,906,170,1010,16.8,20220125
2020,02,Anne Arundel,3062,Brock Bridge Elementary,Elementary,>= 95.0,*,*,54.0,241,<= 5.0,*,446,110,606,18.2,20220125
