Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2022,01,Allegany,0301,Flintstone Elementary,Elementary,91.5,17823.0,19483.0,16.6,26,22.3,35,157,51,196,26.0,20221114
2022,01,Allegany,0401,South Penn Elementary,Elementary,86.8,38859.5,44776.0,6.4,23,43.1,156,362,258,452,57.1,20221114
2022,01,Allegany,0402,John Humbird Elementary,Elementary,85.0,18469.5,21738.0,5.7,10,52.3,92,176,142,218,65.1,20221114
2022,01,Allegany,0405,Fort Hill High,High,84.4,67544.5,80066.0,12.1,78,45.6,293,643,370,690,53.6,20221114
2022,01,Allegany,0406,Washington Middle,Middle,85.3,62648.5,73438.0,10.7,63,39.8,235,591,306,635,48.2,20221114
2022,01,Allegany,0502,Northeast Elementary,Elementary,91.6,23085.0,25213.0,15.2,31,21.1,43,204,78,269,29.0,20221114
2022,01,Allegany,0504,Braddock Middle,Middle,87.9,65533.0,74571.0,12.9,78,35.0,212,606,271,646,42.0,20221114
2022,01,Allegany,0601,Center for Career & Technical Education,High,87.7,25825.5,29453.0,10.5,25,37.1,88,237,103,246,41.9,20221114
2022,01,Allegany,0603,West Side Elementary,Elementary,88.8,27659.0,31141.0,14.1,35,31.3,78,249,122,299,40.8,20221114
2022,01,Allegany,0606,Allegany High,High,84.9,76299.5,89824.0,10.7,77,41.0,295,720,397,782,50.8,20221114
2022,01,Allegany,0701,Cresaptown Elementary,Elementary,89.8,23995.0,26730.0,13.4,29,33.6,73,217,111,285,38.9,20221114
2022,01,Allegany,0702,Bel Air Elementary,Elementary,92.6,18004.5,19446.0,19.0,30,16.5,26,158,46,201,22.9,20221114
2022,01,Allegany,0801,Westernport Elementary,Elementary,89.8,21525.0,23962.0,9.7,19,31.3,61,195,105,254,41.3,20221114
2022,01,Allegany,0802,Westmar Middle,Middle,86.2,24533.0,28463.0,12.2,28,47.0,108,230,125,240,52.1,20221114
2022,01,Allegany,1001,George's Creek Elementary,Elementary,89.6,21203.5,23653.0,11.2,22,31.1,61,196,106,242,43.8,20221114
2022,01,Allegany,1101,Frost Elementary,Elementary,92.1,15593.0,16936.0,23.6,34,16.0,23,144,58,190,30.5,20221114
2022,01,Allegany,1301,Mount Savage Middle,Middle,90.3,44544.5,49316.0,16.3,65,27.5,110,400,156,421,37.1,20221114
2022,01,Allegany,1302,Mt. Savage Elementary,Elementary,91.1,17783.0,19510.0,14.0,22,21.7,34,157,66,191,34.6,20221114
2022,01,Allegany,2404,Mountain Ridge High School,High,86.0,78615.5,91423.0,9.1,67,43.4,318,733,407,782,52.0,20221114
2022,01,Allegany,2801,Beall Elementary,Elementary,90.2,38126.5,42292.0,10.6,36,26.5,90,340,157,427,36.8,20221114
2022,01,Allegany,2901,Cash Valley Elementary,Elementary,90.5,21719.5,23998.0,13.2,26,24.4,48,197,86,254,33.9,20221114
2022,01,Allegany,2902,Parkside Elementary,Elementary,92.7,18952.5,20450.0,16.0,27,13.0,22,169,39,203,19.2,20221114
2022,01,Allegany,A,All Allegany Schools,Elementary,89.8,322798.5,359328.0,12.5,367,29.4,859,2925,1370,3588,38.2,20221114
2022,01,Allegany,A,All Allegany Schools,Middle,87.4,197259.0,225788.0,12.8,234,36.7,670,1828,838,1912,43.8,20221114
2022,01,Allegany,A,All Allegany Schools,High,85.4,248285.0,290766.0,10.6,248,42.8,1001,2337,1262,2477,50.9,20221114
2022,01,Allegany,A,All Allegany Schools,All,87.7,768342.5,875882.0,12.0,849,35.7,2530,7090,3470,7977,43.5,20221114
2022,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,91.8,87162.5,94943.0,25.1,207,22.9,189,824,267,874,30.5,20221114
2022,02,Anne Arundel,1033,Glen Burnie High,High,87.7,220658.5,251509.0,17.5,380,35.5,773,2177,1026,2361,43.5,20221114
2022,02,Anne Arundel,1043,Corkran Middle School,Middle,93.0,68637.0,73773.0,24.4,157,17.5,113,644,154,691,22.3,20221114
2022,02,Anne Arundel,1053,Lindale Middle,Middle,91.6,123890.0,135312.0,18.0,211,24.6,289,1174,395,1253,31.5,20221114
2022,02,Anne Arundel,1063,Marley Middle,Middle,91.7,99737.0,108738.0,22.0,209,21.5,205,952,274,1031,26.6,20221114
2022,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,91.3,24139.5,26453.0,12.7,29,29.4,67,228,117,297,39.4,20221114
2022,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,90.5,37515.0,41438.0,13.7,49,29.1,104,357,178,461,38.6,20221114
2022,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,90.8,28200.5,31054.0,14.9,41,25.8,71,275,125,355,35.2,20221114
2022,02,Anne Arundel,1122,Freetown Elementary,Elementary,90.6,40532.5,44716.0,13.5,53,27.2,107,394,183,512,35.7,20221114
2022,02,Anne Arundel,1132,Glendale Elementary,Elementary,91.8,33303.5,36296.0,15.1,47,23.8,74,311,134,418,32.1,20221114
2022,02,Anne Arundel,1142,Hilltop Elementary,Elementary,90.1,44910.0,49847.0,13.6,59,31.6,137,433,239,574,41.6,20221114
2022,02,Anne Arundel,1152,Linthicum Elementary,Elementary,93.1,37976.5,40794.0,21.6,76,13.9,49,352,100,465,21.5,20221114
