Year,LEA,LEA Name,School,School Name,Race,Enrolled Count,Create Date
2023,01,Allegany,0301,Flintstone Elementary,Black/African American,*,20230214
2023,01,Allegany,0301,Flintstone Elementary,White,205,20230214
2023,01,Allegany,0301,Flintstone Elementary,Hispanic/Latino of Any Race,*,20230214
2023,01,Allegany,0301,Flintstone Elementary,Two or More Races,*,20230214
2023,01,Allegany,0301,Flintstone Elementary,All,216,20230214
2023,01,Allegany,0401,South Penn Elementary,American Indian or Alaska Native,*,20230214
2023,01,Allegany,0401,South Penn Elementary,Asian,*,20230214
2023,01,Allegany,0401,South Penn Elementary,Black/African American,42,20230214
2023,01,Allegany,0401,South Penn Elementary,White,390,20230214
2023,01,Allegany,0401,South Penn Elementary,Hispanic/Latino of Any Race,*,20230214
2023,01,Allegany,0401,South Penn Elementary,Two or More Races,76,20230214
2023,01,Allegany,0401,South Penn Elementary,All,523,20230214
2023,01,Allegany,0402,John Humbird Elementary,American Indian or Alaska Native,*,20230214
2023,01,Allegany,0402,John Humbird Elementary,Black/African American,33,20230214
2023,01,Allegany,0402,John Humbird Elementary,White,153,20230214
2023,01,Allegany,0402,John Humbird Elementary,Hispanic/Latino of Any Race,*,20230214
2023,01,Allegany,0402,John Humbird Elementary,Two or More Races,38,20230214
2023,01,Allegany,0402,John Humbird Elementary,All,234,20230214
2023,01,Allegany,0405,Fort Hill High,Asian,*,20230214
2023,01,Allegany,0405,Fort Hill High,Black/African American,37,20230214
2023,01,Allegany,0405,Fort Hill High,White,579,20230214
2023,01,Allegany,0405,Fort Hill High,Hispanic/Latino of Any Race,14,20230214
2023,01,Allegany,0405,Fort Hill High,Native Hawaiian or Other Pacific Islander,*,20230214
2023,01,Allegany,0405,Fort Hill High,Two or More Races,58,20230214
2023,01,Allegany,0405,Fort Hill High,All,692,20230214
2023,01,Allegany,0406,Washington Middle,American Indian or Alaska Native,*,20230214
2023,01,Allegany,0406,Washington Middle,Asian,*,20230214
2023,01,Allegany,0406,Washington Middle,Black/African American,23,20230214
2023,01,Allegany,0406,Washington Middle,White,482,20230214
2023,01,Allegany,0406,Washington Middle,Hispanic/Latino of Any Race,11,20230214
2023,01,Allegany,0406,Washington Middle,Two or More Races,61,20230214
2023,01,Allegany,0406,Washington Middle,All,583,20230214
2023,01,Allegany,0502,Northeast Elementary,Black/African American,11,20230214
2023,01,Allegany,0502,Northeast Elementary,White,234,20230214
2023,01,Allegany,0502,Northeast Elementary,Hispanic/Latino of Any Race,*,20230214
2023,01,Allegany,0502,Northeast Elementary,Two or More Races,22,20230214
2023,01,Allegany,0502,Northeast Elementary,All,272,20230214
2023,01,Allegany,0504,Braddock Middle,American Indian or Alaska Native,*,20230214
2023,01,Allegany,0504,Braddock Middle,Asian,*,20230214
2023,01,Allegany,0504,Braddock Middle,Black/African American,30,20230214
2023,01,Allegany,0504,Braddock Middle,White,489,20230214
2023,01,Allegany,0504,Braddock Middle,Hispanic/Latino of Any Race,22,20230214
2023,01,Allegany,0504,Braddock Middle,Two or More Races,54,20230214
2023,01,Allegany,0504,Braddock Middle,All,603,20230214
2023,01,Allegany,0601,Center for Career & Technical Education,Black/African American,*,20230214
