Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Pct,Mobility Cnt,Entrants Pct,Entrants Cnt,Withdrawals Pct,Withdrawals Cnt,Avg Daily Member Cnt,Create Date
2006,01,Allegany,0301,Flintstone Elementary,Elementary,15.4,,6.8,15,8.6,19,221.4,20120327
2006,01,Allegany,0401,South Penn Elementary,Elementary,15.5,,8.2,37,7.3,33,450.8,20120327
2006,01,Allegany,0402,John Humbird Elementary,Elementary,17.1,,6.7,21,10.5,33,315.5,20120327
2006,01,Allegany,0405,Fort Hill High,High,21.8,,9.1,99,12.7,138,1085.5,20120327
2006,01,Allegany,0406,Washington Middle,Middle,19.1,,8.3,62,10.8,80,743.1,20120327
2006,01,Allegany,0502,Northeast Elementary,Elementary,14.8,,7.7,23,7.1,21,297.2,20120327
2006,01,Allegany,0504,Braddock Middle,Middle,16.0,,9.0,61,7.0,47,675.5,20120327
2006,01,Allegany,0601,Center For Career & Technology Education,High,*,*,*,*,*,*,*,20120327
2006,01,Allegany,0602,Allegany County Evening High School,High,*,*,*,*,*,*,*,20120327
2006,01,Allegany,0603,West Side Elementary,Elementary,28.7,,14.3,38,14.3,38,265.2,20120327
2006,01,Allegany,0606,Allegany High,High,19.3,,8.1,74,11.2,102,910.2,20120327
2006,01,Allegany,0701,Cresaptown Elementary,Elementary,9.8,,5.2,17,<= 5.0,*,326.4,20120327
2006,01,Allegany,0702,Bel Air Elementary,Elementary,18.9,,6.5,14,12.5,27,216.8,20120327
2006,01,Allegany,0801,Westernport Elementary,Elementary,16.8,,7.4,19,9.4,24,256.5,20120327
2006,01,Allegany,0802,Westmar Middle,Middle,11.6,,<= 5.0,*,6.6,21,318.1,20120327
2006,01,Allegany,1001,George's Creek Elementary,Elementary,9.4,,<= 5.0,*,<= 5.0,*,331.2,20120327
2006,01,Allegany,1002,Westmar High,High,15.0,,6.2,28,8.8,40,452.0,20120327
2006,01,Allegany,1101,Frost Elementary,Elementary,7.9,,<= 5.0,*,<= 5.0,*,226.8,20120327
2006,01,Allegany,1301,Mount Savage Middle,Middle,15.7,,7.8,35,7.8,35,446.6,20120327
2006,01,Allegany,1302,Mt. Savage Elementary,Elementary,13.6,,10.5,27,<= 5.0,*,256.5,20120327
