Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2020,01,Allegany,0301,Flintstone Elementary,Elementary,8.8,18,<= 5.0,*,5.4,11,204.6,20220124
2020,01,Allegany,0401,South Penn Elementary,Elementary,13.4,62,5.2,24,8.2,38,462.0,20220124
2020,01,Allegany,0402,John Humbird Elementary,Elementary,23.5,58,6.5,16,17.0,42,246.5,20220124
2020,01,Allegany,0405,Fort Hill High,High,14.3,95,<= 5.0,*,10.2,68,665.8,20220124
2020,01,Allegany,0406,Washington Middle,Middle,9.2,56,<= 5.0,*,6.4,39,607.2,20220124
2020,01,Allegany,0502,Northeast Elementary,Elementary,12.1,35,5.2,15,6.9,20,288.5,20220124
2020,01,Allegany,0504,Braddock Middle,Middle,10.0,62,<= 5.0,*,6.9,43,619.2,20220124
2020,01,Allegany,0601,Center for Career & Technical Education,High,6.4,13,<= 5.0,*,6.4,13,203.9,20220124
2020,01,Allegany,0603,West Side Elementary,Elementary,17.8,61,7.3,25,10.5,36,342.0,20220124
2020,01,Allegany,0606,Allegany High,High,9.8,70,<= 5.0,*,7.0,50,711.7,20220124
2020,01,Allegany,0701,Cresaptown Elementary,Elementary,9.5,28,<= 5.0,*,6.4,19,295.2,20220124
2020,01,Allegany,0702,Bel Air Elementary,Elementary,6.8,14,<= 5.0,*,<= 5.0,*,206.4,20220124
2020,01,Allegany,0801,Westernport Elementary,Elementary,11.1,26,<= 5.0,*,9.4,22,234.0,20220124
2020,01,Allegany,0802,Westmar Middle,Middle,9.7,26,<= 5.0,*,7.1,19,268.0,20220124
2020,01,Allegany,1001,George's Creek Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20220124
2020,01,Allegany,1101,Frost Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20220124
2020,01,Allegany,1301,Mount Savage Middle,Middle,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20220124
2020,01,Allegany,1302,Mt. Savage Elementary,Elementary,7.1,12,<= 5.0,*,<= 5.0,*,168.5,20220124
2020,01,Allegany,2404,Mountain Ridge High School,High,10.7,83,<= 5.0,*,7.9,61,773.4,20220124
2020,01,Allegany,2801,Beall Elementary,Elementary,11.1,42,5.8,22,5.3,20,376.8,20220124
2020,01,Allegany,2901,Cash Valley Elementary,Elementary,10.4,24,<= 5.0,*,8.2,19,231.6,20220124
2020,01,Allegany,2902,Parkside Elementary,Elementary,13.0,24,5.4,10,7.6,14,185.3,20220124
2020,01,Allegany,A,All Allegany Schools,Elementary,11.4,419,<= 5.0,*,7.2,267,3687.6,20220124
2020,01,Allegany,A,All Allegany Schools,Middle,8.6,163,<= 5.0,*,6.1,116,1886.8,20220124
2020,01,Allegany,A,All Allegany Schools,High,11.1,261,<= 5.0,*,8.2,192,2354.8,20220124
2020,01,Allegany,A,All Allegany Schools,All,10.6,843,<= 5.0,*,7.3,575,7929.1,20220124
2020,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,10.2,86,<= 5.0,*,5.5,46,843.3,20220124
2020,02,Anne Arundel,1033,Glen Burnie High,High,12.0,247,<= 5.0,*,8.2,170,2061.3,20220124
2020,02,Anne Arundel,1043,Corkran Middle School,Middle,12.5,82,5.3,35,7.2,47,656.4,20220124
2020,02,Anne Arundel,1053,Lindale Middle,Middle,8.9,100,<= 5.0,*,5.2,59,1126.9,20220124
2020,02,Anne Arundel,1063,Marley Middle,Middle,12.8,121,6.0,57,6.8,64,945.5,20220124
