Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2022,01,Allegany,0301,Flintstone Elementary,Elementary,8.4,16,<= 5.0,*,6.9,13,189.5,20221114
2022,01,Allegany,0401,South Penn Elementary,Elementary,11.8,50,<= 5.0,*,8.7,37,423.4,20221114
2022,01,Allegany,0402,John Humbird Elementary,Elementary,16.0,32,6.5,13,9.5,19,200.3,20221114
2022,01,Allegany,0405,Fort Hill High,High,16.1,104,<= 5.0,*,12.7,82,646.1,20221114
2022,01,Allegany,0406,Washington Middle,Middle,13.1,78,<= 5.0,*,8.7,52,595.9,20221114
2022,01,Allegany,0502,Northeast Elementary,Elementary,10.3,26,<= 5.0,*,6.7,17,252.6,20221114
2022,01,Allegany,0504,Braddock Middle,Middle,12.7,77,<= 5.0,*,8.7,53,606.7,20221114
2022,01,Allegany,0601,Center for Career & Technical Education,High,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20221114
2022,01,Allegany,0603,West Side Elementary,Elementary,11.1,31,<= 5.0,*,9.3,26,279.2,20221114
2022,01,Allegany,0606,Allegany High,High,14.8,107,<= 5.0,*,12.0,87,724.6,20221114
2022,01,Allegany,0701,Cresaptown Elementary,Elementary,14.1,37,5.7,15,8.4,22,261.8,20221114
2022,01,Allegany,0702,Bel Air Elementary,Elementary,12.5,24,<= 5.0,*,9.4,18,192.2,20221114
2022,01,Allegany,0801,Westernport Elementary,Elementary,11.7,28,<= 5.0,*,9.6,23,239.1,20221114
2022,01,Allegany,0802,Westmar Middle,Middle,10.4,24,<= 5.0,*,7.8,18,230.9,20221114
2022,01,Allegany,1001,George's Creek Elementary,Elementary,10.2,23,<= 5.0,*,6.6,15,226.1,20221114
2022,01,Allegany,1101,Frost Elementary,Elementary,13.0,23,9.6,17,<= 5.0,*,177.6,20221114
2022,01,Allegany,1301,Mount Savage Middle,Middle,9.7,39,<= 5.0,*,7.0,28,401.2,20221114
2022,01,Allegany,1302,Mt. Savage Elementary,Elementary,9.9,18,<= 5.0,*,5.5,10,181.9,20221114
2022,01,Allegany,2404,Mountain Ridge High School,High,11.5,85,<= 5.0,*,9.2,68,740.2,20221114
2022,01,Allegany,2801,Beall Elementary,Elementary,14.2,57,<= 5.0,*,9.2,37,401.1,20221114
2022,01,Allegany,2901,Cash Valley Elementary,Elementary,14.7,35,7.1,17,7.6,18,238.3,20221114
2022,01,Allegany,2902,Parkside Elementary,Elementary,16.2,31,<= 5.0,*,11.5,22,191.4,20221114
2022,01,Allegany,A,All Allegany Schools,Elementary,12.5,431,<= 5.0,*,8.2,283,3454.5,20221114
2022,01,Allegany,A,All Allegany Schools,Middle,11.9,218,<= 5.0,*,8.2,151,1834.6,20221114
2022,01,Allegany,A,All Allegany Schools,High,13.1,307,<= 5.0,*,10.6,248,2348.2,20221114
2022,01,Allegany,A,All Allegany Schools,All,12.5,956,<= 5.0,*,8.9,682,7637.3,20221114
2022,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,11.2,92,<= 5.0,*,7.5,62,823.3,20221114
2022,02,Anne Arundel,1033,Glen Burnie High,High,14.0,306,<= 5.0,*,9.0,197,2184.6,20221114
2022,02,Anne Arundel,1043,Corkran Middle School,Middle,14.9,96,7.0,45,7.9,51,644.5,20221114
2022,02,Anne Arundel,1053,Lindale Middle,Middle,11.6,136,<= 5.0,*,7.2,85,1175.0,20221114
